Step,Create Contribution On-Chain,Create Contribution Off-Chain,Assign Contribution On-Chain,Assign Contribution Off-Chain,Update Coordinates On-Chain,Update Coordinates Off-Chain,Review Contribution On-Chain,Review Contribution Off-Chain,ZKP Contracts On-Chain,ZKP Contracts Off-Chain,Total Time
310,41,0,18,0,14,117,21,106,22,3070,3413
311,13,0,18,0,13,110,24,107,24,3197,3512
312,12,0,18,0,14,103,22,98,22,3141,3432
313,15,0,21,0,17,119,24,109,109,3057,3474
314,15,0,18,0,16,114,24,104,87,3315,3698
315,16,0,19,0,16,109,24,101,21,3376,3686
316,13,0,19,0,14,106,22,107,26,3236,3547
317,16,0,20,0,15,112,31,123,91,3057,3477
318,13,0,20,0,14,113,26,107,29,3080,3404
319,15,0,20,0,18,142,24,118,81,3271,3693
320,15,0,18,0,13,112,31,110,24,3273,3600
321,14,0,18,0,17,114,22,104,26,3104,3422
322,17,0,20,0,16,119,22,111,27,3065,3399
323,13,0,18,0,15,115,22,105,31,3308,3631
324,13,0,19,0,16,118,24,107,34,3055,3391
325,14,0,18,0,16,118,28,120,19,3092,3433
326,15,0,19,0,16,124,25,113,24,3317,3657
327,13,0,20,0,15,121,21,111,25,3365,3694
328,23,0,26,0,21,135,30,125,40,3698,4102
329,16,1,22,0,18,126,27,126,20,3363,3724
330,13,0,21,0,14,126,24,109,23,3138,3472
331,14,0,18,0,14,123,28,115,28,3402,3745
332,14,0,18,0,16,119,22,112,25,3174,3503
333,12,0,20,0,18,104,21,105,24,3209,3517
334,18,0,19,0,16,158,30,110,29,3273,3663
335,13,0,17,0,15,115,34,110,23,3424,3753
336,18,0,17,0,15,119,25,111,21,3418,3748
337,13,0,17,0,15,121,22,113,23,3362,3691
338,13,0,20,0,16,106,20,107,26,3403,3716
339,22,0,20,0,14,120,25,111,41,3210,3570
340,15,0,19,0,17,119,31,126,21,3149,3501
341,11,1,20,0,15,115,25,106,25,3115,3433
342,17,1,20,0,12,124,23,113,24,3155,3492
343,13,0,21,0,11,120,37,120,31,3307,3667
344,14,0,18,0,14,122,23,116,25,3258,3596
345,16,0,19,0,14,129,25,114,29,3165,3516
346,14,0,20,0,17,134,21,115,60,3107,3491
347,14,0,17,0,15,124,25,109,125,3434,3868
348,15,0,19,0,15,122,24,115,44,3360,3718
349,16,0,18,0,16,124,24,117,110,3173,3601
350,15,0,18,0,13,123,22,112,100,3169,3581
351,15,0,19,0,28,123,24,114,120,3528,3974
